Date,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,00:00:00
14/03/2025,1.625,1.625,1.625,1.5,1.75,1.375,1.5,1.5,2,1.75,2.5,7.375,26,42.875,63,91.125,105.125,120.875,110.875,116,138.75,88.125,83.75,45.75,65.375,29,12.375,27.75,11.5,22.875,8.125,14.375,3.75,1.75,1.625,1.625,1.75,1.5,1.5,1.625,1.75,1.625,1.5,1.5,1.5,1.625,1.25,1.75
15/03/2025,1.5,1.5,1.5,1.625,1.625,1.625,1.375,1.625,1.625,1.625,2.625,4.625,16,20.125,38.625,85.125,99.125,94.25,73.5,105.75,118.875,160.375,169.625,150.625,132,116.125,115.125,89.25,63.125,45.75,53.375,24.625,7.75,2.125,1.375,1.375,2,1.375,1.625,1.875,1.625,1.75,1.625,1.875,1.625,1.75,1.75,1.625
16/03/2025,1.5,1.75,1.625,1.625,1.375,1.5,1.75,1.375,2,1.75,2.375,8.625,22.125,57.25,71.5,90.625,107.625,122.5,134.875,144.125,149.5,151.5,150,146.375,139.25,129.5,117.125,101,83.5,63.875,45.25,27.75,9.625,1.5,2,1.375,1.875,1.75,1.75,1.625,1.625,1.5,1.625,1.375,1.625,1.5,1.625,1.625
17/03/2025,1.625,1.625,1.75,1.75,1,2.25,1.5,1.125,2,1.5,2.125,8,9.75,24.75,31.25,38.875,73.875,56.875,71,83.125,61.375,39.625,44.375,32.125,32.125,40.375,41.375,33.25,27.375,26.875,17.25,9.75,3.25,1.875,1.625,1.625,1.625,1.625,1.625,1.625,1.75,1.625,1.625,1.75,1.25,2,1.625,1.625
18/03/2025,1.5,1.5,1.75,1.5,1.625,1.75,1.625,1.75,1.5,1.625,3.125,10.875,30.625,51.375,71.125,90.375,107.875,122.875,134.875,143.375,124.125,178.25,151.625,149.5,143,133.375,120.125,104.75,86.25,66.25,46.75,27.75,10.375,2.25,1.5,1.875,1.625,1.625,1.75,1.625,1.625,1.375,1.625,1.375,2,1.625,1.75,1.375
19/03/2025,1.75,1.875,1.75,1.625,1.75,1.625,1.75,1.625,1.5,2.125,3.25,11.75,30.625,51.125,71.375,56.625,81,73.625,128.375,136.375,95.75,91.625,115.125,106.75,85.625,86.625,60.875,64.125,39.125,21.625,10.25,5,2.375,2.25,1.5,1.625,1.625,1.625,1.5,1.625,1.375,1.625,1.625,1.625,1.75,1.625,1.625,1.625
20/03/2025,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.25,1.875,1.75,2.625,12.25,23.25,52.5,68.75,86.875,103.25,117.5,128.625,136,141.25,144.875,144,140.75,134.75,125.125,115.125,99.625,76,58.375,34.75,17.375,11,1.875,1.375,1.375,1.25,1.125,1.625,1.375,1.5,1.5,1.25,1.5,1.375,1.25,1.5,1.5
21/03/2025,1.375,1.25,2,1.625,1.625,1.25,1.5,1.375,1.75,1.375,2.375,5.25,17.25,18.875,20.75,43.625,61.375,65.375,82.875,75.5,72.5,80.5,62,94.375,75.5,148.125,98,54.75,37.125,28.375,21.125,3.625,1.75,1.25,1.5,1.5,1.25,1.625,1.5,1.5,1.25,1.625,1.625,1.625,1.75,1.625,1.375,1.875
22/03/2025,1.625,1.625,1.375,1.5,1.5,1.625,1.625,1.5,1.25,2,3.875,9.25,22.5,33.625,41.125,53.5,67.25,50.75,94.375,72.125,81.875,84.25,68.125,49.125,39.75,39.375,43.5,36.625,47.5,41.25,27.75,16.75,6.125,1.75,1.75,1.375,1.5,1.625,1.5,1.75,1.625,1.625,1.625,1.625,1.625,1.375,1.875,1.75
23/03/2025,1.375,1.625,1.625,1.75,1.625,1.625,1.125,1.625,1.625,1.75,2.125,9.625,13.125,14.875,31.375,33.25,81,60.75,39.875,28.25,21.25,20.625,13.25,9.625,19.875,20.5,25.125,16.5,20.125,5.75,3,2.25,1.5,1.625,1.375,1.75,1.25,1.875,1.5,1.625,1.5,1.5,1.375,1.5,1.375,1.5,1.375,1.5
24/03/2025,1.5,1.5,1.5,1.625,1.625,1.375,1.625,1.5,1.625,1.75,2,7.75,9.375,16.125,20.75,18.75,31.5,44.875,31.875,48,39.25,49.875,40.625,44,40.875,51.125,40.625,39.25,38.25,24.625,16.25,10.75,6.5,2.625,1.625,1.75,1.75,1.625,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.625,1.625,1.625
25/03/2025,1.125,2.25,1.625,1.75,1.625,1.625,1.75,1.625,1.75,1.875,2.375,4.875,12.5,31.625,66.375,59.5,97.375,125.75,109.625,88.375,103.625,81.25,72.5,65.5,95.875,109.625,93,104.875,74.125,38.375,25.5,9.625,3.5,2.125,1.875,1.625,1.5,1.25,1.25,1.25,1.5,1.5,1.5,1.375,1.5,1.375,1.5,1.75
26/03/2025,1.625,1.625,1.5,1.75,1.375,1.875,1.375,1.75,1.625,2.25,4.875,12.5,17.625,21.625,41,41.875,46.625,58,48.625,110.125,144.5,151.125,149.875,147.75,142.375,130.125,117.875,103.375,73.5,81.375,49,31.625,14.625,3.5,1.875,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.5,1.875,1.375,1.875,1.625
27/03/2025,1.625,1.75,1.625,1.625,1.75,1.625,1.75,1.5,1.375,1.875,5.25,10.75,21.5,22.375,42,45.75,55.875,69.375,89.625,78.5,76.75,81.25,91.5,110.25,118.375,134.625,124.25,107.75,92.75,74.125,53.5,34.875,16.625,2.75,2,1.625,1.625,1.75,1.625,1.625,1.625,1.625,1.375,2,1.625,1.625,1.625,1.75
28/03/2025,1.625,1.625,1.625,1.875,1.625,1.625,1.75,1.625,1.75,1.75,2.625,2.875,5.125,4.5,25.25,31.125,61.75,93.875,91.375,80.875,167.5,120,98.75,161.625,139.75,149.25,89.25,101.875,95.5,61.75,39.25,46.625,20.125,7.375,1.125,1.375,1.25,1.125,1.625,1.625,1.375,1.875,1.625,1.625,1.375,2,1.75,1.625
29/03/2025,1.625,1.625,1.625,1.625,1.5,1.75,1.5,1.75,1.75,2.5,9,28.375,42,72.75,85.5,106,120.375,123.625,118.375,107.625,134.375,154.375,155.625,150.875,145.625,135.875,120,78.125,71.5,88.875,57.5,44.5,18.375,9.25,1.75,1.625,1.625,1.5,1.5,1.5,1.375,1.875,1.375,1.625,1.375,1.375,1.25,4.75
30/03/2025,1.5,1.625,1.625,1.625,1.625,1.375,1.75,3.25,11.125,26.125,41.75,47.625,87.25,106.75,123.125,134.75,144.375,154.125,159.625,160.375,158.875,154.875,147.625,139.5,127.25,113.625,96.875,78.875,50.25,47.875,21.375,6.125,1.125,1.125,1.125,1.625,1.375,1.875,1.5,1.75,1.625,1.625,1.625,1.5,1.625,1.625,1.625,1.625
31/03/2025,1.375,1.625,1.125,1.875,1.75,1.625,1.625,3.25,10.625,28.25,48.375,67.75,87.125,105.5,100,153.5,142.375,149.25,155.875,154.5,154.375,150.125,147.25,139.25,126.875,110.25,96.875,74.75,54.875,32,23.25,7,1.375,1.75,1.5,1.5,1.625,1.75,1.375,1.625,1.375,1.75,1.5,1.5,1.375,1.5,1.5,1.25
